#circles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		 #rectangles #f_b 	 kappa_11 	 kappa_22 	 kappa_12 		
   2.6658750e-01   6.7387582e-01   6.8817106e-01  -3.1317664e-04           6.2523750e-01   3.9275620e-01   3.4530024e-01   3.5529309e-03
   5.9540625e-01   4.3317979e-01   3.9272104e-01   2.9052732e-05           6.4021875e-01   3.5431828e-01   3.8150568e-01   8.6520440e-03
   2.4632500e-01   6.8303355e-01   7.2495776e-01  -7.0431786e-03           7.1996250e-01   3.0737205e-01   3.1671059e-01  -5.8169580e-03
   3.3604375e-01   6.2811280e-01   6.3009464e-01   1.7628318e-02           5.4960625e-01   4.2029374e-01   4.2894731e-01  -1.5845786e-02
   8.0418750e-01   2.7234125e-01   2.7021762e-01  -6.6417537e-03           7.3254375e-01   2.9431015e-01   3.1955999e-01  -1.3195312e-03
   2.6833125e-01   6.5571581e-01   6.9631797e-01   1.2053759e-02           8.1081875e-01   2.6255999e-01   2.7048323e-01   2.5365540e-03
   7.0236250e-01   3.3590921e-01   3.0277652e-01   7.3834610e-03           6.1015000e-01   4.0063692e-01   3.6265188e-01  -2.8080605e-02
   7.2249375e-01   3.7608620e-01   2.8005124e-01  -2.3205925e-04           3.2703750e-01   5.9183139e-01   6.2911518e-01   2.1005503e-02
   4.2473125e-01   5.3923589e-01   5.6720773e-01  -1.1648975e-03           4.4758125e-01   4.8953947e-01   5.2287400e-01  -1.7556407e-02
   6.5542500e-01   3.5823759e-01   3.8610783e-01  -7.5446116e-03           4.9287500e-01   4.3706854e-01   4.8819976e-01   9.9099322e-03
   4.0186250e-01   6.2099815e-01   4.8079286e-01  -1.7401641e-02           2.7985625e-01   6.5864591e-01   6.4772388e-01  -3.9968113e-03
   4.8048125e-01   5.0350088e-01   4.8022185e-01   4.3162388e-02           7.0475000e-01   3.1081569e-01   3.3587990e-01  -5.8165157e-03
   6.7456250e-01   3.8106574e-01   3.2173651e-01   1.7383343e-03           3.5907500e-01   5.4688310e-01   6.0310833e-01  -2.1357254e-02
   4.2855625e-01   5.8096413e-01   5.0206223e-01  -1.0034709e-02           4.9885625e-01   4.5315337e-01   4.8044483e-01   7.3701694e-04
   5.3002500e-01   3.9874967e-01   4.9572431e-01   1.1077407e-03           7.8860625e-01   2.9742833e-01   2.7288843e-01  -2.2779580e-03
   4.0745625e-01   5.4379853e-01   5.8596267e-01  -1.5214292e-02           4.1940000e-01   5.2241780e-01   5.4650906e-01  -1.7033711e-02
   5.6415625e-01   4.3368661e-01   3.8260294e-01  -5.1370745e-03           4.2979375e-01   5.0867499e-01   5.0859081e-01   6.0848448e-03
   2.5673125e-01   6.8908094e-01   7.0493843e-01   1.4098518e-02           3.8849375e-01   5.5796910e-01   5.6699120e-01  -1.5041796e-02
   5.5771250e-01   4.5198460e-01   4.5320091e-01   1.0819759e-05           4.7441875e-01   4.5157014e-01   4.8550507e-01   1.9650572e-02
   3.9491875e-01   4.2609741e-01   6.3026121e-01  -1.5322684e-03           6.6681250e-01   3.4182986e-01   3.5991171e-01  -1.6086351e-02
   3.3308125e-01   6.8756176e-01   5.2901241e-01   9.8274241e-03           6.3706250e-01   3.2305744e-01   4.0608688e-01   4.1656149e-03
   6.5222500e-01   3.7368607e-01   3.5593363e-01  -1.8962417e-02           3.9405000e-01   5.3350009e-01   5.4959428e-01  -2.5367972e-03
   6.8083750e-01   2.8271029e-01   4.2342201e-01   1.8766928e-03           3.6516875e-01   5.4330085e-01   6.0387986e-01  -2.0964402e-03
   3.3471875e-01   6.2739252e-01   6.1900544e-01   3.3961229e-02           3.4099375e-01   5.6585357e-01   6.2051290e-01   9.3066554e-03
   3.1597500e-01   5.7094466e-01   6.7971409e-01   2.3383120e-03           7.5445000e-01   3.0927983e-01   2.7804192e-01  -8.2255084e-03
   3.6621250e-01   6.0033082e-01   5.8313456e-01   1.0450312e-02           2.2369375e-01   6.9712879e-01   7.2645506e-01   4.6095977e-04
   3.5996875e-01   6.1176174e-01   6.1253764e-01   5.0572876e-06           6.7610625e-01   3.2453661e-01   3.4678715e-01  -4.2542943e-03
   6.2151875e-01   4.4556632e-01   3.2846324e-01   7.9999091e-03           6.7341875e-01   3.3729770e-01   3.4581441e-01  -3.7000446e-05
   6.2068125e-01   3.3126828e-01   4.3335382e-01  -6.0986594e-04           7.3016875e-01   3.1639412e-01   3.0335858e-01  -1.2097315e-02
   5.9114375e-01   4.8425263e-01   3.3963878e-01  -2.0079458e-04           5.8723125e-01   4.2847149e-01   3.8882048e-01   2.6333573e-02
   2.9816250e-01   7.0469922e-01   5.8957270e-01   1.4234278e-02           6.5428750e-01   3.4133443e-01   3.7462960e-01   1.7652367e-02
   4.4551875e-01   5.8792349e-01   4.2256445e-01  -1.8122978e-03           4.2671250e-01   5.1784236e-01   5.3034694e-01  -2.0959056e-02
   6.7379375e-01   3.9647857e-01   3.2275594e-01  -2.1906924e-02           3.5111250e-01   6.1395977e-01   5.7919529e-01   9.8541954e-03
   6.0303750e-01   4.2877899e-01   4.0569134e-01   4.1376329e-03           6.9591875e-01   3.1752619e-01   3.4447017e-01   6.6903006e-03
   7.8597500e-01   3.2004992e-01   2.5846451e-01  -3.7336279e-03           3.3727500e-01   5.9394377e-01   5.9626582e-01  -2.2177144e-02
   5.5973125e-01   4.0120191e-01   4.6363850e-01   9.3935908e-03           4.4754375e-01   4.9678482e-01   5.3327555e-01   6.9720332e-03
   6.4638750e-01   4.0890464e-01   3.4445203e-01  -6.4537723e-03           5.7732500e-01   3.6501056e-01   4.4618361e-01   5.1576202e-03
   4.6624375e-01   5.0693630e-01   4.8919793e-01   2.1375842e-03           5.6703125e-01   4.0063496e-01   4.1163172e-01  -3.1459357e-02
   5.6272500e-01   3.9040582e-01   4.4353940e-01  -7.2709251e-03           4.1400000e-01   5.6267520e-01   5.0938250e-01  -9.4582902e-03
   4.3562500e-01   5.2675385e-01   5.3787177e-01  -2.4225965e-03           6.2532500e-01   3.4568265e-01   4.0883646e-01  -3.0454893e-04
   5.8464375e-01   4.3895479e-01   3.9802999e-01  -7.3320724e-03           6.2159375e-01   3.9741171e-01   3.6460152e-01   1.3167645e-02
   7.1243750e-01   3.8082130e-01   2.8390239e-01   1.5403444e-03           3.6592500e-01   5.9497875e-01   5.5963448e-01  -1.4225328e-02
   5.2076875e-01   3.5536391e-01   5.5383625e-01   2.9001374e-03           5.6094375e-01   4.3289971e-01   3.8507423e-01  -3.6033519e-03
   7.1472500e-01   3.0505243e-01   3.3914652e-01   1.6973456e-02           4.0537500e-01   5.5361952e-01   5.1203831e-01   1.1917613e-02
   4.4981875e-01   5.2023192e-01   5.4551654e-01  -1.8797904e-03           6.5010625e-01   3.5344764e-01   3.6036147e-01  -4.8286268e-03
   2.3050625e-01   7.0601960e-01   7.4053256e-01   1.8365204e-02           6.6695000e-01   3.4890597e-01   3.4348860e-01  -1.8740821e-02
   7.9357500e-01   2.6210446e-01   2.8411002e-01   3.2292734e-03           3.6540000e-01   5.6444893e-01   5.9994514e-01  -8.6487261e-03
   8.1145000e-01   2.8943108e-01   2.5032128e-01   1.2223957e-02           2.5500000e-01   6.8188071e-01   6.6779957e-01   2.6796597e-02
   6.6364375e-01   3.8809127e-01   3.0915280e-01  -3.4978636e-03           8.0295000e-01   2.6858668e-01   2.8670320e-01  -1.2081196e-02
   6.3655000e-01   4.0593380e-01   3.7849386e-01   4.8584032e-03           7.6870625e-01   2.9452937e-01   2.8774803e-01  -1.4809688e-02
   2.5255000e-01   7.3079165e-01   6.4566836e-01  -2.9772687e-02           2.3926875e-01   6.9884280e-01   7.1570049e-01   2.0211556e-02
   2.0570625e-01   6.7516839e-01   7.9571951e-01  -1.6840375e-02           2.8583125e-01   6.7818687e-01   6.1728828e-01   1.6695188e-02
   6.0098750e-01   3.5738862e-01   4.1517918e-01   1.0710967e-02           3.2705000e-01   6.2506234e-01   6.0395866e-01  -1.6797336e-02
   6.3065000e-01   3.4500324e-01   4.1951417e-01   2.3723694e-02           5.0030000e-01   5.2244591e-01   4.0205200e-01   1.0077126e-02
   4.6305000e-01   5.2544889e-01   5.2636887e-01   1.6016176e-05           6.4313125e-01   3.7494105e-01   3.5032890e-01   9.1756013e-03
   4.2769375e-01   5.7117966e-01   4.7914414e-01  -1.4756177e-02           2.5897500e-01   6.8973413e-01   6.8620731e-01  -5.9666894e-03
   4.9839375e-01   5.0489720e-01   4.6637929e-01  -2.6059706e-02           3.3435625e-01   5.6018833e-01   6.1629781e-01   6.5592933e-03
   7.5180625e-01   3.4713296e-01   2.7908133e-01  -1.8917536e-03           3.2869375e-01   6.4029953e-01   5.7418220e-01   2.7338341e-02
   8.1081250e-01   2.5240755e-01   2.8417464e-01   8.6070327e-03           2.8663750e-01   6.4159820e-01   6.8893232e-01   1.2665706e-02
   6.8221875e-01   4.3618244e-01   2.7708173e-01  -1.0482290e-04           2.8577500e-01   6.6465396e-01   6.4605336e-01  -1.3004807e-02
   2.8014375e-01   6.8458649e-01   6.8532264e-01   3.2430069e-05           5.4688125e-01   4.2804205e-01   4.0074546e-01   2.8099057e-03
   5.1792500e-01   5.3585734e-01   3.6800754e-01   1.2925416e-02           5.1223125e-01   3.9073014e-01   4.8874177e-01  -1.1022357e-02
   7.6972500e-01   3.2447763e-01   2.6621212e-01   3.9978156e-03           6.6183750e-01   3.6709712e-01   3.2053904e-01   8.5831929e-03
   7.5091875e-01   3.0705957e-01   3.0051726e-01   7.9893315e-03           6.3490000e-01   3.8445640e-01   3.5055051e-01   1.1617462e-02
   8.3187500e-01   2.7241068e-01   2.5714914e-01  -7.0233386e-03           2.4311875e-01   6.8130553e-01   7.0997496e-01   3.6700741e-02
   4.8467500e-01   4.5033161e-01   5.2130097e-01  -9.0831861e-03           6.5920000e-01   3.4845722e-01   3.3556680e-01  -8.6313905e-03
   7.5428750e-01   3.1085258e-01   2.9223387e-01   1.9879934e-02           6.8638750e-01   3.3099804e-01   3.3548394e-01  -5.1898569e-03
