	#f_b 	 max kappa_11 	 max kappa_22 	 max kappa_12 	 mean kappa_11 	 mean kappa_22 	 mean kappa_12	 min kappa_11 	 min kappa_22 	 min kappa_12
   6.5289872e-01   4.5503301e-01   4.4960330e-01   6.1738506e-02   3.5872907e-01   3.6106746e-01   6.7131670e-04   2.9469268e-01   2.8983630e-01  -2.8958273e-02
   6.5893373e-01   4.3988092e-01   4.4628895e-01   4.1741161e-02   3.5307430e-01   3.5334085e-01   6.1625054e-04   2.8977319e-01   2.9491973e-01  -4.5039389e-02
   6.6464872e-01   4.5219803e-01   4.3691520e-01   5.3448097e-02   3.5118060e-01   3.5027749e-01   1.2014316e-03   2.8759340e-01   2.8157512e-01  -3.1329553e-02
   6.7066805e-01   4.3836811e-01   4.3899716e-01   5.2980360e-02   3.4895759e-01   3.4329719e-01  -3.1079323e-04   2.8678770e-01   2.8590454e-01  -2.9930693e-02
   6.7625642e-01   4.1955197e-01   4.2705246e-01   3.2968823e-02   3.4137714e-01   3.4537558e-01  -6.5258607e-04   2.8830783e-01   2.9298508e-01  -2.4348683e-02
   6.8170277e-01   4.3618244e-01   4.3429294e-01   4.5765110e-02   3.3749606e-01   3.4480126e-01  -4.1343396e-04   2.7840817e-01   2.7708173e-01  -3.3587260e-02
   6.8792901e-01   4.2438576e-01   4.3003354e-01   3.0665688e-02   3.3703079e-01   3.3736808e-01  -6.3516434e-04   2.7738240e-01   2.7715251e-01  -2.3513069e-02
   6.9450923e-01   4.1923848e-01   4.1313053e-01   3.4524556e-02   3.3387760e-01   3.3301320e-01   6.9101914e-04   2.7895251e-01   2.7407370e-01  -2.2264941e-02
   7.0024648e-01   4.2442389e-01   4.1390441e-01   4.1217988e-02   3.3230458e-01   3.2727298e-01  -1.3628405e-04   2.7570891e-01   2.6930567e-01  -2.7776089e-02
   7.0607293e-01   4.0018888e-01   4.0907692e-01   4.9747162e-02   3.2505093e-01   3.2786117e-01  -4.8554740e-05   2.6958130e-01   2.7869386e-01  -2.7106082e-02
   7.1209872e-01   4.1100891e-01   4.0120887e-01   4.8122718e-02   3.2190301e-01   3.2351505e-01   1.9241170e-03   2.7188707e-01   2.6977589e-01  -2.7781376e-02
   7.1738013e-01   4.0594159e-01   4.0574825e-01   2.5658341e-02   3.1940942e-01   3.1958177e-01   1.2039243e-03   2.6673254e-01   2.7084625e-01  -2.0899954e-02
   7.2279002e-01   3.9289294e-01   4.0521899e-01   3.5723641e-02   3.1700743e-01   3.1509148e-01   1.0309128e-03   2.6724558e-01   2.7127831e-01  -4.0875035e-02
   7.2865795e-01   3.9380682e-01   3.9831151e-01   3.8743037e-02   3.1551958e-01   3.1215093e-01   8.1376751e-04   2.6308883e-01   2.6266783e-01  -4.4502579e-02
   7.3498493e-01   3.8399943e-01   3.9350371e-01   2.3591517e-02   3.0593229e-01   3.1304562e-01   4.0762495e-04   2.6076066e-01   2.6988192e-01  -2.1311991e-02
   7.4126283e-01   3.9581027e-01   3.8387562e-01   2.9338115e-02   3.0780891e-01   3.0383612e-01  -2.0527133e-04   2.6198120e-01   2.5533997e-01  -2.5000923e-02
   7.4729810e-01   3.8820931e-01   3.7581238e-01   1.8731704e-02   3.0391106e-01   3.0230126e-01  -1.4933883e-04   2.6234653e-01   2.5608934e-01  -2.2012485e-02
   7.5248800e-01   3.8740359e-01   3.7017374e-01   2.2256216e-02   2.9962175e-01   3.0187753e-01   1.0230055e-03   2.5864660e-01   2.5537989e-01  -2.4716130e-02
   7.5805724e-01   3.6442521e-01   3.7513710e-01   2.7787934e-02   2.9850334e-01   2.9754320e-01   1.5086326e-04   2.5263910e-01   2.6138345e-01  -4.9576779e-02
   7.6364085e-01   3.6694408e-01   3.5584110e-01   1.9370882e-02   2.9517722e-01   2.9344206e-01  -4.6245647e-04   2.5824207e-01   2.5500724e-01  -2.4123299e-02
   7.6882430e-01   3.7430645e-01   3.5050222e-01   2.3063185e-02   2.9163162e-01   2.9205221e-01  -9.1816746e-04   2.5747074e-01   2.5012511e-01  -1.7012259e-02
   7.7474164e-01   3.5780353e-01   3.6481100e-01   2.0091435e-02   2.8673961e-01   2.9209902e-01  -3.7862572e-04   2.4911597e-01   2.5248403e-01  -2.2043866e-02
   7.8105476e-01   3.3658679e-01   3.4093109e-01   3.1617231e-02   2.8535939e-01   2.8490551e-01   1.0438163e-03   2.5573222e-01   2.5206031e-01  -2.9595809e-02
   7.8752330e-01   3.3388906e-01   3.4323675e-01   2.1350578e-02   2.8294440e-01   2.8298210e-01   6.5130492e-04   2.5103710e-01   2.5588865e-01  -2.4181126e-02
   7.9455886e-01   3.4151362e-01   3.3439830e-01   3.0705549e-02   2.7758254e-01   2.8205902e-01   5.7615640e-04   2.4797371e-01   2.4720789e-01  -2.5005336e-02
   8.0206275e-01   3.1749553e-01   3.1632478e-01   2.0418340e-02   2.7572485e-01   2.7547575e-01   7.3603137e-05   2.4691512e-01   2.4944725e-01  -2.7527394e-02
   8.1220029e-01   3.1184946e-01   3.2808958e-01   4.1109463e-02   2.6984938e-01   2.7325432e-01   4.2453187e-04   2.4180482e-01   2.4970214e-01  -1.6580801e-02
   8.2556478e-01   3.2323013e-01   2.9976557e-01   1.9193926e-02   2.6547711e-01   2.6519070e-01   1.9472231e-05   2.4372063e-01   2.3294749e-01  -2.1500510e-02
